1435 925 4253 9934 190 8921 6627 9942 7804 5784 5542 6251 9925 330 5873 4515 7100 5967 620 190 8921 1893 1927 5417 468 8921 6159 6627 4584 9177 8914 4141 5430 9074 6159 9664 8022 631 4745 5873 5906 4754 1435 868 8914 5835 961 7382 9963 4886 7616 4766 431 886 9955 9646 9074 8775 190 8921 5959 4456 1927 7891 9955 2628 7382 9727 5542 1331 5339 8973 6627 468 2730 8965 4754 4232 9780 5327 9074 2687 9843 8921 1893 8949 7408 8926 6282 872 468 8949 7408 8928 9687 2570 8905 8914 6220 3879 1927 1600 386 5200 6193 5582 7408 5957 1015 5957 6132 5957 9971 8921 1927 8949 5415 8939 4745 6096 8921 957 1331 7754 5873 4515 4584 3136 9709 6060 9074 1349 6759 6112 872 8149 8914 1415 8921 7545 1927 668 4403 252 464 2942 8981 8197 4711 7708 590 4030 5280 617 9763 9690 1136 6113 8921 9632 468 8105 8173 1435 9615 9074 9286 6230 8921 2770 5286 	5
957 5990 9074 3918 9074 6747 589 5772 468 9300 8949 6116 49 2414 9758 9955 3857 8061 6112 1251 6230 6112 8921 22 8914 8949 6116 468 6159 9780 1129 6112 8921 4467 9821 2896 1251 8059 4745 6861 8921 8012 6112 5542 9962 4170 9843 9962 3446 4543 9963 6524 3881 8949 8935 2344 2896 8059 4712 6486 3602 9739 6157 5771 5984 310 171 468 6198 1131 6112 9821 8921 6200 6112 8921 1251 9763 9740 8061 3602 8979 8914 1435 2178 468 1146 6112 6150 8921 9152 1405 6230 9074 190 5259 6251 9849 9059 746 6678 8949 4251 2003 9481 6367 3141 9664 4886 3315 4771 5957 4141 3403 903 468 8949 5389 5873 3210 8939 7010 5605 2455 7146 9955 1956 4584 7202 4543 4766 3602 8926 49 2414 6157 6193 6045 8953 3977 4030 3582 468 9805 868 761 	5
9739 4321 9113 9843 8921 6305 468 4515 8973 6627 4745 8921 9780 4836 3321 4051 6286 9690 7612 8914 4754 9664 8921 4346 7074 4321 6157 9933 3602 7321 4584 3871 6356 5616 589 726 5917 8921 2180 9758 9955 6197 9962 5554 9690 8429 9843 8921 4498 6150 554 5767 468 7837 8921 582 1711 9843 5506 8724 6752 2356 4141 8185 8456 7562 9843 4444 8914 9664 9537 8821 4515 4141 8921 7534 1058 9843 723 8812 3141 468 386 8921 3582 9664 2468 8939 9740 416 9537 4702 468 9397 898 468 9821 6119 8939 4745 464 3104 812 8914 7750 9500 1928 631 9727 631 8185 8724 8586 8939 4745 8493 5259 5485 4584 8921 761 7749 5280 6149 6130 3717 6988 2255 6149 6130 5681 631 9727 631 6398 6950 9492 468 6220 4349 7146 9259 9074 5177 5485 3602 3683 4404 5554 	5
5869 868 8334 468 7108 8914 8973 4745 6045 983 4069 8522 8875 9074 8965 8921 8522 4745 3945 6627 4584 6600 3602 636 4644 5802 1743 468 9553 6873 3602 8979 5312 3602 4792 6873 5666 4251 9074 3918 2997 4584 6600 4754 4745 4030 4430 9843 5280 8682 8973 8522 1415 4580 	3
6036 5339 8973 8522 4251 897 5601 3602 2423 1331 9664 9537 2613 9843 8921 9852 9776 4308 9459 5068 7589 4584 9855 1888 7847 4232 4438 2342 7782 8032 9098 9459 8914 7974 8939 9741 515 5246 6157 8921 9698 386 9740 8173 6230 6112 4533 9253 6157 2399 6851 668 8926 8522 9955 5559 9074 8863 5552 8914 9962 5286 8173 0 6038 3262 9855 4584 111 4466 9756 4766 161 2459 6246 8973 9664 310 7863 9098 9459 8950 4886 7871 386 8926 9829 8586 9074 2499 8921 6831 2396 5957 6117 9074 1391 8921 6220 8522 639 8928 9074 4389 4774 3602 5552 4680 7847 1833 386 9740 8173 6230 6112 8921 1019 866 8921 9698 6165 7918 1060 8376 7158 3221 8914 8921 9698 4143 7923 1019 4723 6157 8921 7545 2396 4533 9253 6157 8921 1911 668 8926 8522 222 9074 4315 4754 7907 4251 7923 9427 6157 8921 9698 4723 7847 8493 1833 386 8524 9740 8173 6230 5957 5690 1136 4754 6164 3717 6159 6112 9962 1995 468 4754 9664 1661 9117 	2
3460 6113 5389 7295 468 613 9074 868 7707 5969 9074 8921 3250 4456 7455 9537 9362 6045 9074 5611 4754 9664 16 2459 6246 8914 2396 640 9074 868 7707 2997 1331 8921 4453 3178 9664 8914 8973 9664 386 8914 9664 726 2859 9074 7296 9727 5389 7295 1331 7847 4886 5389 494 3178 8914 9690 5930 9074 868 5061 6385 9074 7999 2997 3823 4754 9325 8426 6165 886 5873 3306 5210 8926 2730 	2
5836 8756 3298 1882 9074 70 8921 6836 589 9537 3945 468 8921 8390 9664 9537 5552 8428 9843 8185 6740 8921 7537 9664 3683 468 8821 631 4584 8948 9740 9780 9104 5709 330 9516 6157 8921 8757 9740 416 3683 468 4141 3462 8756 1486 190 107 8921 3462 9664 2425 1331 8921 1486 9664 6826 6260 8921 4966 8390 8778 9074 2342 468 3638 6230 8914 8949 5415 9462 6112 8921 9872 4321 8917 7382 6140 7645 3602 961 6193 9889 5057 	3
9886 3602 8921 2099 771 4886 6252 771 8921 8522 1883 3609 8973 9712 4251 5957 1472 3602 8921 2455 9864 5721 4754 4478 4543 9962 5312 3602 8185 2425 2984 3830 668 8973 4745 9962 9712 9074 3918 2918 2812 468 868 5622 5873 3707 	1
9690 3432 9578 8921 5959 7318 22 9927 310 8921 7368 3451 4754 4745 7010 431 4476 7966 8921 5959 7368 5314 468 3368 5206 8921 3626 5048 7318 8926 7782 4745 4030 9690 6198 6623 468 7523 7907 4251 4992 961 9074 6197 6623 3717 5959 5644 8595 7318 7409 9103 7591 9843 5959 5644 7597 468 5829 4754 1235 761 5607 6112 2113 9843 5873 6353 9762 6193 9664 8921 961 1431 9103 7591 	3
668 5153 9259 9074 3602 6227 3707 9701 7804 9927 761 5129 9459 9074 2700 468 8921 6112 494 9328 6112 4402 8921 6486 9396 6112 468 9269 3727 6227 3707 589 8493 9091 2970 9927 5075 1331 4476 5873 4456 2705 4251 3602 8921 6112 5259 6602 468 802 3717 5873 5306 5326 5339 4251 3717 8921 4456 2700 1975 3162 3602 8850 886 4766 431 468 9749 4203 4584 8867 8453 4584 8867 9422 5959 880 613 5537 7899 4746 9977 9977 9977 4771 3977 5537 2700 4584 5873 9301 9253 8921 8724 8310 2700 3346 468 8921 5090 2700 5630 468 8921 4467 5389 3708 3141 9664 2481 468 4550 868 761 9074 9286 8921 7316 8921 7318 4745 2345 1849 4955 6112 9325 4365 9540 9843 3389 8753 4663 468 2702 6418 4766 3759 468 4766 305 3918 340 9286 4754 9955 4886 5666 3295 4584 5339 	5
